canonical_tool,type,aliases,stage_id,pds_domain,pds_subarea,weight,confidence,source,flag,notes
Europe PMC API,tool,,disease-understanding,data-acquisition-management,data-collection,1.0,high,pharma_value_chain_model:v0.8.0,,
GTEx,database,,disease-understanding,data-acquisition-management,data-collection,1.0,high,pharma_value_chain_model:v0.8.0,,expression atlas
Human Protein Atlas,database,HPA,disease-understanding,data-acquisition-management,data-collection,1.0,high,pharma_value_chain_model:v0.8.0,,
KEGG,database,,disease-understanding,exploration-mining-analysis,mining,1.0,high,pharma_value_chain_model:v0.8.0,,pathway DB
Open Targets Platform,database,Open Targets,disease-understanding,exploration-mining-analysis,mining,1.0,high,pharma_value_chain_model:v0.8.0,,knowledge graph
PubMed E-utilities,tool,E-utilities|PubMed API,disease-understanding,data-acquisition-management,data-collection,1.0,high,pharma_value_chain_model:v0.8.0,,
Reactome,database,,disease-understanding,exploration-mining-analysis,mining,1.0,high,pharma_value_chain_model:v0.8.0,,pathway DB
Tabula Sapiens,database,,disease-understanding,data-acquisition-management,data-collection,1.0,high,pharma_value_chain_model:v0.8.0,,single-cell atlas
WikiPathways,database,,disease-understanding,exploration-mining-analysis,mining,1.0,high,pharma_value_chain_model:v0.8.0,,pathway DB
BioGRID,database,,target-identification,data-acquisition-management,data-collection,1.0,high,pharma_value_chain_model:v0.8.0,,PPI
ChEMBL API,tool,ChEMBL,target-identification,data-acquisition-management,data-collection,1.0,high,pharma_value_chain_model:v0.8.0,,
Cytoscape,tool,,target-identification,viz-presentation,creating-dataviz,1.0,high,pharma_value_chain_model:v0.8.0,,network viz
DESeq2,tool,,target-identification,math-stats,statistics,1.0,high,pharma_value_chain_model:v0.8.0,,RNA-seq differential
DoGSiteScorer,tool,,target-identification,ml-ai,model-building,1.0,high,pharma_value_chain_model:v0.8.0,,druggability
DruGAN,tool,,target-identification,ml-ai,model-building,1.0,high,pharma_value_chain_model:v0.8.0,,druggability
edgeR,tool,,target-identification,math-stats,statistics,1.0,high,pharma_value_chain_model:v0.8.0,,
limma,tool,,target-identification,math-stats,statistics,1.0,high,pharma_value_chain_model:v0.8.0,,
Mendelian randomisation,method,Mendelian randomization|MR,target-identification,math-stats,statistics,1.0,high,pharma_value_chain_model:v0.8.0,,
MR-Base,tool,,target-identification,math-stats,statistics,1.0,high,pharma_value_chain_model:v0.8.0,,
PLINK,tool,,target-identification,math-stats,statistics,1.0,high,pharma_value_chain_model:v0.8.0,,GWAS
REGENIE,tool,,target-identification,math-stats,statistics,1.0,high,pharma_value_chain_model:v0.8.0,,GWAS
SAIGE,tool,,target-identification,math-stats,statistics,1.0,high,pharma_value_chain_model:v0.8.0,,GWAS
STRING,database,,target-identification,data-acquisition-management,data-collection,1.0,high,pharma_value_chain_model:v0.8.0,,PPI
TwoSampleMR,tool,,target-identification,math-stats,statistics,1.0,high,pharma_value_chain_model:v0.8.0,,R Mendelian rand
AutoDock,tool,,lead-identification,ml-ai,model-building,1.0,high,pharma_value_chain_model:v0.8.0,,docking
ChemBERTa,tool,,lead-identification,ml-ai,model-building,1.0,high,pharma_value_chain_model:v0.8.0,,chem transformer
DeepPurpose,tool,,lead-identification,ml-ai,model-building,1.0,high,pharma_value_chain_model:v0.8.0,,ADMET
drc,tool,,lead-identification,math-stats,statistics,1.0,high,pharma_value_chain_model:v0.8.0,,R dose-response
Glide,tool,,lead-identification,ml-ai,model-building,1.0,high,pharma_value_chain_model:v0.8.0,,docking
GraphPad,tool,GraphPad Prism,lead-identification,math-stats,statistics,1.0,high,pharma_value_chain_model:v0.8.0,,
IntaRNA,tool,,lead-identification,computing-programming,programming,1.0,high,pharma_value_chain_model:v0.8.0,,RNA structure
OpenBabel,tool,Open Babel,lead-identification,computing-programming,programming,1.0,high,pharma_value_chain_model:v0.8.0,,
pkCSM,tool,,lead-identification,ml-ai,model-building,1.0,high,pharma_value_chain_model:v0.8.0,,ADMET
platetools,tool,,lead-identification,math-stats,statistics,1.0,high,pharma_value_chain_model:v0.8.0,,R HTS
RDKit,tool,,lead-identification,computing-programming,programming,1.0,high,pharma_value_chain_model:v0.8.0,,cheminformatics
rDock,tool,,lead-identification,ml-ai,model-building,1.0,high,pharma_value_chain_model:v0.8.0,,docking
RNAfold,tool,,lead-identification,computing-programming,programming,1.0,high,pharma_value_chain_model:v0.8.0,,RNA structure
scipy,tool,SciPy,lead-identification,computing-programming,programming,1.0,high,pharma_value_chain_model:v0.8.0,,
SwissADME,tool,,lead-identification,ml-ai,model-building,1.0,high,pharma_value_chain_model:v0.8.0,,ADMET
